Localefase_1800Hz,Spoorfase_1800Hz
-0.0521986235673294,-0.725274806110872
-0.0487989002973134,-0.799594579525493
-0.0423372585588114,-0.82318976221059
-0.0341443706042224,-0.787192660331499
-0.0239224314829829,-0.693985688236134
-0.0117023501588305,-0.551412063007073
0.00179564942220814,-0.375111668926152
0.0144747637890596,-0.172893399790298
0.025553273404045,0.036498420882818
0.0358544300243839,0.243799055555468
0.0447314988963358,0.43619189686776
0.0509518565972835,0.600873102228837
0.0518273443641747,0.724738713495654
0.0484486896982577,0.803531911925938
0.0421288511494368,0.824688592198408
0.0338993109209428,0.786480815802597
0.0234795285519637,0.692721491616535
0.0112283265992987,0.552252625286063
-0.00222131778814391,0.375070937816287
-0.0148908892517321,0.177279484927117
-0.0259964797192602,-0.0343240594025429
-0.0363060764634781,-0.243750160600098
-0.0451388174138294,-0.435887008220101
-0.0513268438634601,-0.598827799840043
-0.0523291651519737,-0.723631644223886
-0.0488634204487466,-0.79855088000797
-0.0424236747968054,-0.822956858578053
-0.0342618777318864,-0.787873801536987
-0.0240198009111981,-0.695228736573479
-0.0117850853522198,-0.55340328380397
0.00167246694657967,-0.377563691737307
0.0143981879147022,-0.175725329344119
0.0254381950137824,0.0333554396932294
0.0357511102530835,0.240783044114374
0.0446108164536719,0.433600301695859
0.050836463713058,0.598614799245599
0.0518463111102182,0.723172142278269
0.0485286548370025,0.802420483122393
0.0421583763862515,0.824658700956147
0.0339514735507313,0.787422129712599
0.0236119041554329,0.694528313412119
0.0113456896085225,0.554901011244117
-0.00217797196932704,0.378060716826943
-0.0147705381685599,0.180344282343728
-0.0258874335746094,-0.0313067199902362
-0.0362174061277794,-0.240769272996823
-0.0451058635773833,-0.433418814009741
-0.051301525842716,-0.596831218468502
-0.0523130870929897,-0.72248074084496
-0.0488973158794575,-0.798266473470619
-0.0425121462400932,-0.823590181933865
-0.0343070636797364,-0.789201565444617
-0.0241493015755876,-0.697106577622485
-0.0120121956588773,-0.555701628543583
0.00153222820204476,-0.380359157406608
0.0142687344637852,-0.178689096838192
0.0252928771574203,0.0304965443319726
0.0356455646734381,0.238334948789407
0.0445486201732831,0.431857111792175
0.0507875963949208,0.597380238378344
0.0518722811510435,0.72253424265706
0.0485444072147996,0.802470083532704
0.042293016331152,0.825283031799416
0.0341603789863733,0.788797790899228
0.0237978547899326,0.696465436685565
0.0115946478610037,0.55709750427562
-0.00195414581272968,0.38041114672644
-0.0146642144140341,0.182807947993963
-0.0257680517013056,-0.0291064568389218
-0.0360737970709497,-0.23870370395039
-0.0449245832837634,-0.431844298546333
-0.0511354857720867,-0.595810460834879
-0.0522525909292819,-0.722020361944014
-0.048930348795968,-0.798404294636734
-0.0425712490849228,-0.824133738622653
-0.0344029438229797,-0.790273398692268
